compound_id,smiles_raw,std_smiles,std_inchikey,label,umap_x,umap_y,plot_group
(+)-(r)-germacrene a,CC1=CCCC(=CCC(CC1)C(=C)C)C,C=C(C)C1CC=C(C)CCC=C(C)CC1,XMRKUJJDDKYUHV-UHFFFAOYSA-N,p450db,-2.4796674,10.906859,background
(+)-2-dodecanol,CCCCCCCCCCC(C)O,CCCCCCCCCCC(C)O,XSWSEQPWKOWORN-UHFFFAOYSA-N,p450db,-8.284576,-0.8120035,background
(+)-2-hexanol,CCCCC(C)O,CCCCC(C)O,QNVRIHYSUZMSGM-UHFFFAOYSA-N,p450db,-8.304236,-0.8120615,background
(+)-5-epi-aristolochene,CC1CCCC2=CCC(CC12C)C(=C)C,C=C(C)C1CC=C2CCCC(C)C2(C)C1,YONHOSLUBQJXPR-UHFFFAOYSA-N,p450db,-2.5040758,11.113107,background
(+)-5-hydroxytryptophan,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,LDCYZAJDBXYCGN-UHFFFAOYSA-N,p450db,0.8912706,4.0065837,background
(+)-adrenosterone,CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4=O)C,CC12CC(=O)C3C(CCC4=CC(=O)CCC43C)C1CCC2=O,RZRPTBIGEANTGU-UHFFFAOYSA-N,p450db,-5.4657516,15.199078,background
(+)-alpha-tocopherol,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,GVJHHUAWPYXKBD-UHFFFAOYSA-N,p450db,-5.7391844,7.984267,background
"(+)-amorpha-4,11-diene",CC1CCC(C2C1CCC(=C2)C)C(=C)C,C=C(C)C1CCC(C)C2CCC(C)=CC12,HMTAHNDPLDKYJT-UHFFFAOYSA-N,p450db,-2.4062593,10.950894,background
(+)-bicyclogermacrene,CC1=CCCC(=CC2C(C2(C)C)CC1)C,CC1=CC2C(CCC(C)=CCC1)C2(C)C,VPDZRSSKICPUEY-UHFFFAOYSA-N,p450db,-2.874389,10.96817,background
(+)-boldine,CN1CCC2=CC(=C(C3=C2C1CC4=CC(=C(C=C43)OC)O)OC)O,COc1cc2c(cc1O)CC1c3c(cc(O)c(OC)c3-2)CCN1C,LZJRNLRASBVRRX-UHFFFAOYSA-N,p450db,-6.5250406,5.2865086,background
(+)-camphor,CC1(C2CCC1(C(=O)C2)C)C,CC12CCC(CC1=O)C2(C)C,DSSYKIVIOFKYAU-UHFFFAOYSA-N,p450db,-5.912831,10.784161,background
